date,open,high,low,adj_close,volume,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns,returns_prc
1981-05-15,0.122768,0.124442,0.122768,0.095532,4905600,1981,5,15,2,0,0,-0.027235999999999996,-28.509818699493355
1981-05-18,0.125,0.126116,0.125,0.097269,4166400,1981,5,18,2,0,0,-0.027731000000000006,-28.509597096711193
1981-05-19,0.123326,0.123326,0.122768,0.095532,25424000,1981,5,19,2,0,0,-0.027794,-29.09391617468492
1981-05-20,0.126674,0.12779,0.126674,0.098571,13283200,1981,5,20,2,0,0,-0.028103000000000003,-28.51041381339339
1981-05-21,0.133929,0.134487,0.133929,0.104217,32211200,1981,5,21,2,0,0,-0.02971199999999999,-28.5097440916549
1981-05-22,0.140067,0.141183,0.140067,0.108993,31427200,1981,5,22,2,0,0,-0.03107399999999999,-28.510087803803902
1981-05-26,0.140067,0.140067,0.139509,0.108559,85344000,1981,5,26,2,0,0,-0.031507999999999994,-29.023848782689594
1981-05-27,0.147321,0.147879,0.147321,0.114638,149497600,1981,5,27,2,0,0,-0.032683000000000004,-28.50974371499852
1981-05-28,0.147321,0.147879,0.147321,0.114638,73987200,1981,5,28,2,0,0,-0.032683000000000004,-28.50974371499852
1981-05-29,0.147879,0.148438,0.147879,0.115072,59382400,1981,5,29,2,0,0,-0.03280700000000002,-28.509976362625157
1981-06-01,0.147879,0.148438,0.147879,0.115072,51251200,1981,6,1,2,1,0,-0.03280700000000002,-28.509976362625157
1981-06-02,0.141183,0.141183,0.140625,0.109427,40432000,1981,6,2,2,0,0,-0.031756000000000006,-29.02026008206385
1981-06-03,0.140625,0.141741,0.140625,0.109427,39446400,1981,6,3,2,0,0,-0.031198000000000004,-28.510331088305453
1981-06-04,0.143415,0.143973,0.143415,0.111598,56067200,1981,6,4,2,0,0,-0.031816999999999984,-28.510367569311263
1981-06-05,0.141741,0.141741,0.141183,0.109861,57680000,1981,6,5,2,0,0,-0.031880000000000006,-29.018486997205567
1981-06-08,0.136719,0.136719,0.136161,0.105954,93497600,1981,6,8,2,0,0,-0.030765,-29.036185514468542
1981-06-09,0.138951,0.139509,0.138951,0.108125,119593600,1981,6,9,2,0,0,-0.030825999999999992,-28.509595375722537
1981-06-10,0.140625,0.142299,0.140625,0.109427,25222400,1981,6,10,2,0,0,-0.031198000000000004,-28.510331088305453
1981-06-11,0.146763,0.147321,0.146763,0.114203,38976000,1981,6,11,2,0,0,-0.032560000000000006,-28.510634571771327
1981-06-12,0.145647,0.145647,0.145089,0.112901,25804800,1981,6,12,2,0,0,-0.032746,-29.004171796529697
1981-06-15,0.145089,0.145089,0.144531,0.112467,143763200,1981,6,15,2,0,0,-0.032622,-29.005841713569314
1981-06-16,0.142299,0.142299,0.141741,0.110296,37251200,1981,6,16,2,0,0,-0.032003000000000004,-29.015558134474507
1981-06-17,0.140067,0.140067,0.139509,0.108559,27574400,1981,6,17,2,0,0,-0.031507999999999994,-29.023848782689594
